epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,663.803,1.13199,0.81589,1.20054,0.91874,0.89852,0.95136,0.62664,1.14046,0.66777,1.16691,0.001307,0.001307,0.001307
44,679.316,1.14407,0.81637,1.20258,0.92232,0.89852,0.95624,0.61335,1.17882,0.64789,1.17352,0.0012905,0.0012905,0.0012905
45,694.537,1.12248,0.80487,1.19117,0.90826,0.89852,0.95529,0.61224,1.17446,0.66883,1.17838,0.001274,0.001274,0.001274
46,710.089,1.11556,0.80564,1.19045,0.92894,0.89825,0.95284,0.61925,1.1332,0.64595,1.14366,0.0012575,0.0012575,0.0012575
47,725.246,1.12309,0.79692,1.19138,0.92683,0.89708,0.95159,0.62563,1.1421,0.65906,1.15526,0.001241,0.001241,0.001241
48,740.792,1.12602,0.79058,1.18566,0.92408,0.87488,0.94955,0.61939,1.15132,0.66408,1.15735,0.0012245,0.0012245,0.0012245
49,755.91,1.12754,0.79292,1.19518,0.93049,0.89142,0.94697,0.6278,1.16223,0.64165,1.16877,0.001208,0.001208,0.001208
50,771.506,1.11586,0.79012,1.18374,0.92356,0.89409,0.94933,0.62372,1.14751,0.65806,1.13038,0.0011915,0.0011915,0.0011915
51,786.724,1.10101,0.76964,1.17604,0.89984,0.86575,0.94106,0.61604,1.12866,0.67963,1.13608,0.001175,0.001175,0.001175
52,802.37,1.09408,0.76591,1.17131,0.92452,0.88055,0.94675,0.63031,1.12316,0.64526,1.14422,0.0011585,0.0011585,0.0011585
53,817.426,1.10301,0.77541,1.1746,0.93446,0.89323,0.95519,0.62356,1.14732,0.61143,1.15576,0.001142,0.001142,0.001142
54,833.061,1.11511,0.77667,1.18953,0.91172,0.89522,0.95087,0.63075,1.13668,0.63189,1.14228,0.0011255,0.0011255,0.0011255
55,848.185,1.10297,0.76149,1.17387,0.94042,0.88431,0.95058,0.62474,1.13796,0.62339,1.14685,0.001109,0.001109,0.001109
56,863.784,1.11082,0.76739,1.18482,0.93533,0.90381,0.95465,0.6199,1.1563,0.62406,1.1489,0.0010925,0.0010925,0.0010925
57,878.934,1.09912,0.7641,1.18321,0.93403,0.90063,0.9571,0.64325,1.1213,0.61543,1.14296,0.001076,0.001076,0.001076
58,894.384,1.09195,0.74916,1.17576,0.93637,0.91775,0.9627,0.64373,1.13188,0.59105,1.12517,0.0010595,0.0010595,0.0010595
59,909.443,1.07908,0.74108,1.15675,0.92073,0.91649,0.95652,0.64422,1.10484,0.59679,1.12525,0.001043,0.001043,0.001043
60,924.49,1.07071,0.73234,1.15744,0.91956,0.91015,0.95403,0.63694,1.13174,0.61185,1.12044,0.0010265,0.0010265,0.0010265
61,939.619,1.09507,0.73327,1.1738,0.93736,0.90275,0.95932,0.63924,1.12228,0.60006,1.12309,0.00101,0.00101,0.00101
62,954.664,1.07822,0.73396,1.1661,0.94677,0.90255,0.95899,0.63717,1.11305,0.60214,1.11809,0.0009935,0.0009935,0.0009935
63,970.146,1.07604,0.72681,1.15758,0.95186,0.89868,0.96314,0.64576,1.12234,0.58507,1.12514,0.000977,0.000977,0.000977
64,985.51,1.08206,0.73447,1.16544,0.9496,0.91616,0.96168,0.65313,1.0936,0.58278,1.12398,0.0009605,0.0009605,0.0009605
65,1001.21,1.07791,0.73592,1.16183,0.92102,0.89985,0.95328,0.64579,1.10571,0.61337,1.11601,0.000944,0.000944,0.000944
66,1016.65,1.07108,0.72805,1.16016,0.94173,0.88901,0.95584,0.65548,1.09108,0.59223,1.10505,0.0009275,0.0009275,0.0009275
67,1032.45,1.0554,0.70978,1.14408,0.95175,0.91753,0.96474,0.65704,1.10552,0.56547,1.13615,0.000911,0.000911,0.000911
68,1047.62,1.09241,0.72394,1.16319,0.94018,0.92178,0.96446,0.64302,1.112,0.58499,1.11955,0.0008945,0.0008945,0.0008945
69,1063.46,1.05861,0.71988,1.15229,0.94829,0.9112,0.96543,0.65826,1.08798,0.55848,1.1248,0.000878,0.000878,0.000878
70,1078.86,1.05312,0.71114,1.15147,0.90848,0.90909,0.95571,0.64412,1.08052,0.58841,1.12137,0.0008615,0.0008615,0.0008615
71,1094.86,1.05542,0.70751,1.15575,0.95084,0.92283,0.96762,0.66193,1.06911,0.54874,1.092,0.000845,0.000845,0.000845
72,1110.33,1.05656,0.71157,1.14896,0.93819,0.91438,0.96447,0.65379,1.09017,0.54933,1.10954,0.0008285,0.0008285,0.0008285
73,1126.24,1.04384,0.69329,1.14519,0.93637,0.93339,0.96673,0.66304,1.086,0.53626,1.10013,0.000812,0.000812,0.000812
74,1141.6,1.0401,0.69387,1.13956,0.94453,0.9179,0.9601,0.65167,1.08814,0.55932,1.11203,0.0007955,0.0007955,0.0007955
75,1157.41,1.0443,0.689,1.14704,0.95594,0.91735,0.96766,0.66431,1.08291,0.54199,1.11043,0.000779,0.000779,0.000779
76,1172.81,1.03853,0.69542,1.13679,0.95881,0.92178,0.97019,0.66858,1.06175,0.52533,1.09602,0.0007625,0.0007625,0.0007625
77,1188.57,1.04034,0.684,1.14306,0.93845,0.91875,0.96297,0.66445,1.07067,0.54331,1.10485,0.000746,0.000746,0.000746
78,1203.92,1.03599,0.69602,1.14354,0.93556,0.9361,0.96819,0.66453,1.06609,0.52861,1.10735,0.0007295,0.0007295,0.0007295
79,1219.61,1.03787,0.68816,1.13998,0.95111,0.93129,0.96913,0.66005,1.06982,0.53525,1.09572,0.000713,0.000713,0.000713
80,1235,1.02952,0.68016,1.14431,0.95401,0.94281,0.97345,0.66822,1.0543,0.52063,1.08681,0.0006965,0.0006965,0.0006965
81,1250.55,1.01591,0.66428,1.12806,0.93552,0.93548,0.96742,0.66997,1.05055,0.52629,1.09491,0.00068,0.00068,0.00068
82,1266.05,1.01682,0.66939,1.13298,0.9454,0.93342,0.96857,0.66749,1.07701,0.52848,1.09438,0.0006635,0.0006635,0.0006635
83,1281.42,1.02626,0.67551,1.13401,0.95286,0.92389,0.97093,0.67091,1.0576,0.54152,1.09181,0.000647,0.000647,0.000647
84,1296.92,1.00407,0.64613,1.12275,0.93279,0.93902,0.97412,0.67418,1.05662,0.52405,1.08959,0.0006305,0.0006305,0.0006305
85,1312.31,1.01049,0.65146,1.12898,0.9501,0.92586,0.96815,0.67149,1.04696,0.51505,1.09879,0.000614,0.000614,0.000614
86,1328.07,1.00312,0.659,1.1227,0.95618,0.92268,0.9698,0.67125,1.05523,0.51341,1.10826,0.0005975,0.0005975,0.0005975
87,1343.53,1.01274,0.66364,1.12698,0.95232,0.929,0.96816,0.66692,1.05298,0.52579,1.10905,0.000581,0.000581,0.000581
88,1359.3,0.9976,0.65286,1.12454,0.93218,0.93235,0.9649,0.66171,1.08834,0.53011,1.11679,0.0005645,0.0005645,0.0005645
89,1374.68,0.98507,0.64713,1.11725,0.95056,0.93497,0.96837,0.6716,1.04893,0.51531,1.09737,0.000548,0.000548,0.000548
90,1390.47,1.00636,0.65968,1.12468,0.95502,0.92019,0.97044,0.67466,1.0519,0.51389,1.09233,0.0005315,0.0005315,0.0005315
91,1405.82,0.99081,0.63759,1.11237,0.95973,0.93129,0.97378,0.67563,1.03416,0.50726,1.07815,0.000515,0.000515,0.000515
92,1421.6,0.99495,0.63754,1.1161,0.96812,0.93101,0.97266,0.6752,1.06003,0.50036,1.08857,0.0004985,0.0004985,0.0004985
93,1436.88,0.99214,0.63442,1.11602,0.95804,0.926,0.97304,0.67922,1.04593,0.50825,1.08299,0.000482,0.000482,0.000482
94,1452.72,0.98776,0.64324,1.11629,0.9426,0.93735,0.9681,0.67868,1.03169,0.51062,1.07432,0.0004655,0.0004655,0.0004655
95,1468.05,0.98171,0.63414,1.1153,0.97119,0.92661,0.97135,0.67402,1.06986,0.5042,1.09488,0.000449,0.000449,0.000449
96,1483.81,0.98363,0.63552,1.11068,0.96042,0.92345,0.97537,0.68178,1.04258,0.50159,1.07757,0.0004325,0.0004325,0.0004325
97,1499.19,0.98967,0.63728,1.12019,0.97042,0.93552,0.97678,0.68554,1.03315,0.49699,1.07663,0.000416,0.000416,0.000416
98,1514.86,0.98486,0.62516,1.11102,0.96184,0.93254,0.97402,0.68711,1.02614,0.49104,1.07785,0.0003995,0.0003995,0.0003995
99,1530.25,0.97841,0.63274,1.11365,0.94967,0.93129,0.9696,0.68535,1.02722,0.49039,1.07953,0.000383,0.000383,0.000383
100,1545.84,0.98059,0.63193,1.10919,0.95283,0.94503,0.97401,0.68671,1.02554,0.48598,1.06434,0.0003665,0.0003665,0.0003665
101,1561.09,0.98014,0.62668,1.1063,0.96055,0.93869,0.97654,0.68563,1.02574,0.48802,1.07342,0.00035,0.00035,0.00035
102,1576.51,0.97303,0.62626,1.10426,0.94757,0.9408,0.97682,0.68423,1.01995,0.49323,1.0711,0.0003335,0.0003335,0.0003335
103,1591.78,0.96907,0.61028,1.09753,0.96164,0.93129,0.974,0.68659,1.01112,0.49137,1.06795,0.000317,0.000317,0.000317
104,1606.77,0.95608,0.61373,1.09733,0.95534,0.92715,0.97265,0.68637,1.00745,0.48767,1.06467,0.0003005,0.0003005,0.0003005
105,1622.12,0.95863,0.61587,1.09884,0.96261,0.92541,0.97645,0.6856,1.01754,0.48387,1.07024,0.000284,0.000284,0.000284
106,1637.19,0.95252,0.60156,1.09713,0.9451,0.94503,0.97511,0.68858,1.00508,0.48483,1.06219,0.0002675,0.0002675,0.0002675
107,1653,0.95378,0.61139,1.0994,0.95753,0.92706,0.97344,0.68831,1.00467,0.48382,1.06452,0.000251,0.000251,0.000251
108,1668,0.95161,0.60108,1.09804,0.96705,0.93129,0.9717,0.69281,1.00215,0.475,1.06427,0.0002345,0.0002345,0.0002345
109,1683.63,0.94693,0.60119,1.09341,0.9692,0.93763,0.97622,0.695,1.00077,0.46621,1.06813,0.000218,0.000218,0.000218
110,1698.71,0.94731,0.6008,1.09892,0.9546,0.93023,0.9728,0.68893,1.01126,0.47775,1.06959,0.0002015,0.0002015,0.0002015
111,1716.72,0.88196,0.4847,1.03312,0.95613,0.94926,0.97372,0.68703,0.99832,0.47341,1.06315,0.000185,0.000185,0.000185
112,1731.87,0.85733,0.4452,1.02015,0.94785,0.94144,0.97356,0.68527,1.00555,0.47809,1.0712,0.0001685,0.0001685,0.0001685
113,1747.54,0.84892,0.43626,1.01688,0.95393,0.94119,0.97354,0.68559,1.01548,0.47043,1.07546,0.000152,0.000152,0.000152
114,1762.72,0.85058,0.43801,1.01382,0.95895,0.93836,0.97663,0.6907,1.00196,0.4657,1.06993,0.0001355,0.0001355,0.0001355
115,1778.36,0.83649,0.42811,1.01137,0.95857,0.93658,0.97764,0.69284,0.99764,0.4688,1.06724,0.000119,0.000119,0.000119
116,1793.58,0.8367,0.42749,1.0081,0.95336,0.94503,0.97839,0.6919,0.99809,0.46645,1.06662,0.0001025,0.0001025,0.0001025
117,1809.08,0.83391,0.42253,1.00589,0.95282,0.94503,0.97724,0.69431,0.99224,0.46383,1.06347,8.6e-05,8.6e-05,8.6e-05
118,1824.19,0.83146,0.41795,0.99412,0.95784,0.94609,0.97782,0.69374,0.99337,0.46058,1.06342,6.95e-05,6.95e-05,6.95e-05
119,1839.56,0.82409,0.41225,0.99892,0.95828,0.94697,0.97767,0.69541,0.9934,0.45995,1.06304,5.3e-05,5.3e-05,5.3e-05
120,1854.52,0.82395,0.41428,1.001,0.95397,0.9482,0.97746,0.69417,0.99221,0.46052,1.06284,3.65e-05,3.65e-05,3.65e-05
