epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5635,1.28292,1.90501,1.23293,0.73714,0.62199,0.69071,0.37978,1.34879,1.82797,1.22264,0.000651515,0.000651515,0.000651515
2,27.6137,1.39918,1.39206,1.31041,0.35974,0.48193,0.32019,0.11472,2.02828,2.46161,2.17981,0.00130852,0.00130852,0.00130852
3,38.1079,1.50867,1.44097,1.40332,0.57624,0.58133,0.60473,0.27352,1.7439,1.67024,1.61734,0.00195574,0.00195574,0.00195574
4,48.3042,1.47842,1.36825,1.36779,0.69361,0.69578,0.71296,0.36311,1.52543,1.70341,1.43975,0.001956,0.001956,0.001956
5,58.3887,1.41957,1.28159,1.35008,0.64501,0.62349,0.66411,0.31181,1.7245,1.55034,1.65513,0.00194133,0.00194133,0.00194133
6,68.4161,1.42309,1.23152,1.35352,0.76397,0.69277,0.76121,0.4267,1.47885,1.2023,1.32407,0.00192667,0.00192667,0.00192667
7,78.3543,1.39693,1.20675,1.34303,0.77747,0.76355,0.80179,0.45375,1.43769,1.15567,1.37516,0.001912,0.001912,0.001912
8,88.3492,1.36991,1.15776,1.32252,0.83546,0.78163,0.86212,0.50956,1.37786,1.03249,1.29466,0.00189733,0.00189733,0.00189733
9,98.6249,1.37286,1.18382,1.32955,0.67513,0.68223,0.6949,0.37803,1.40441,1.29865,1.32097,0.00188267,0.00188267,0.00188267
10,108.53,1.3139,1.12325,1.29789,0.8092,0.72892,0.82496,0.47104,1.40165,1.08381,1.32223,0.001868,0.001868,0.001868
11,118.421,1.3293,1.12382,1.29927,0.81324,0.72289,0.83186,0.48675,1.35866,1.03761,1.26065,0.00185333,0.00185333,0.00185333
12,128.539,1.3354,1.10898,1.29361,0.8498,0.7997,0.87994,0.51705,1.36432,0.96497,1.2777,0.00183867,0.00183867,0.00183867
13,138.453,1.29248,1.08096,1.28799,0.74263,0.64458,0.74625,0.44075,1.4938,1.52497,1.38211,0.001824,0.001824,0.001824
14,148.405,1.29988,1.08754,1.30199,0.85349,0.80715,0.88273,0.54874,1.26125,0.95014,1.21365,0.00180933,0.00180933,0.00180933
15,158.61,1.28822,1.05768,1.28571,0.77244,0.67018,0.75428,0.44601,1.37839,1.26311,1.31844,0.00179467,0.00179467,0.00179467
16,168.493,1.29255,1.05116,1.27948,0.88628,0.76293,0.85832,0.49984,1.4134,1.11992,1.28025,0.00178,0.00178,0.00178
17,178.438,1.30415,1.04639,1.28059,0.83991,0.87199,0.90682,0.54649,1.26286,0.92574,1.22174,0.00176533,0.00176533,0.00176533
18,188.606,1.25954,1.01201,1.27132,0.81975,0.78763,0.86913,0.51682,1.27725,1.00258,1.22381,0.00175067,0.00175067,0.00175067
19,198.524,1.26365,1.01552,1.26715,0.84016,0.84187,0.90386,0.56396,1.24052,0.88019,1.20855,0.001736,0.001736,0.001736
20,208.481,1.23863,0.98394,1.24772,0.85553,0.8494,0.90053,0.55971,1.24104,0.88941,1.22419,0.00172133,0.00172133,0.00172133
21,218.421,1.23381,0.98185,1.24848,0.85492,0.85241,0.90396,0.54967,1.29118,0.85706,1.19915,0.00170667,0.00170667,0.00170667
22,228.541,1.23198,0.95727,1.24473,0.89031,0.83434,0.90096,0.56133,1.21441,0.85748,1.18876,0.001692,0.001692,0.001692
23,238.51,1.21778,0.96264,1.2416,0.86821,0.84336,0.90579,0.57121,1.18659,0.91554,1.16206,0.00167733,0.00167733,0.00167733
24,248.365,1.23994,0.98076,1.2567,0.89598,0.87349,0.92271,0.58913,1.21381,0.84575,1.20015,0.00166267,0.00166267,0.00166267
25,258.582,1.2183,0.9664,1.24559,0.89623,0.83133,0.9189,0.56487,1.22152,0.85174,1.20087,0.001648,0.001648,0.001648
26,268.409,1.21435,0.9519,1.23517,0.88429,0.80564,0.89382,0.56466,1.18918,0.87231,1.16533,0.00163333,0.00163333,0.00163333
27,278.301,1.21636,0.9372,1.2315,0.89971,0.86898,0.9283,0.61074,1.19145,0.73702,1.17898,0.00161867,0.00161867,0.00161867
28,288.34,1.19666,0.93137,1.23039,0.89259,0.87349,0.93226,0.61228,1.15118,0.77048,1.16447,0.001604,0.001604,0.001604
29,298.214,1.21414,0.91515,1.23781,0.9122,0.87651,0.94202,0.62003,1.14934,0.74146,1.1393,0.00158933,0.00158933,0.00158933
30,308.293,1.19462,0.91122,1.22176,0.90845,0.85185,0.9262,0.59586,1.19358,0.79687,1.17305,0.00157467,0.00157467,0.00157467
31,318.417,1.17365,0.90179,1.21169,0.84828,0.84187,0.90986,0.57111,1.23214,0.82645,1.18054,0.00156,0.00156,0.00156
32,328.301,1.16975,0.89712,1.21342,0.90874,0.87952,0.92897,0.6235,1.1363,0.71114,1.12537,0.00154533,0.00154533,0.00154533
33,338.276,1.18734,0.90769,1.20619,0.90092,0.86277,0.93675,0.62417,1.12686,0.71091,1.13046,0.00153067,0.00153067,0.00153067
34,348.526,1.16988,0.88288,1.20446,0.91211,0.89608,0.93712,0.61793,1.13804,0.70646,1.14138,0.001516,0.001516,0.001516
35,358.383,1.15391,0.86326,1.20082,0.89327,0.87048,0.93215,0.60837,1.14375,0.77554,1.1379,0.00150133,0.00150133,0.00150133
36,368.314,1.1578,0.89114,1.2121,0.88297,0.86898,0.92594,0.60864,1.14189,0.76196,1.14491,0.00148667,0.00148667,0.00148667
37,378.212,1.16081,0.88099,1.20641,0.8995,0.87612,0.93928,0.63201,1.107,0.7226,1.10497,0.001472,0.001472,0.001472
38,388.208,1.15377,0.84986,1.19595,0.92787,0.89111,0.94507,0.63341,1.11013,0.67737,1.11856,0.00145733,0.00145733,0.00145733
39,398.195,1.15088,0.83935,1.19106,0.9335,0.88798,0.9464,0.61961,1.14832,0.70235,1.13109,0.00144267,0.00144267,0.00144267
40,408.062,1.13833,0.85027,1.18423,0.92927,0.85078,0.93395,0.62001,1.13538,0.71157,1.13114,0.001428,0.001428,0.001428
41,418.144,1.12513,0.8353,1.17998,0.84966,0.88404,0.92613,0.60321,1.16987,0.75303,1.13003,0.00141333,0.00141333,0.00141333
42,428.026,1.1462,0.8493,1.18938,0.92325,0.88776,0.93809,0.63648,1.10107,0.70531,1.10751,0.00139867,0.00139867,0.00139867
43,437.993,1.11964,0.81189,1.18148,0.89552,0.89064,0.93623,0.61746,1.15134,0.7321,1.11738,0.001384,0.001384,0.001384
44,448.071,1.11944,0.80561,1.18557,0.92452,0.87651,0.94873,0.6452,1.09603,0.66528,1.10344,0.00136933,0.00136933,0.00136933
45,458.041,1.14428,0.81867,1.18479,0.90249,0.875,0.93208,0.63625,1.08224,0.69256,1.10548,0.00135467,0.00135467,0.00135467
46,467.977,1.11067,0.80494,1.17632,0.92968,0.89604,0.94592,0.64316,1.09577,0.66611,1.11057,0.00134,0.00134,0.00134
47,478.108,1.11136,0.81696,1.16855,0.92434,0.88313,0.94715,0.64942,1.08905,0.65373,1.09131,0.00132533,0.00132533,0.00132533
48,488.125,1.12117,0.80325,1.17663,0.90859,0.89157,0.94637,0.65516,1.07632,0.64855,1.09695,0.00131067,0.00131067,0.00131067
49,498.03,1.11035,0.78954,1.16538,0.93602,0.88705,0.94945,0.66505,1.0451,0.64986,1.072,0.001296,0.001296,0.001296
50,508.267,1.09918,0.78255,1.16249,0.93287,0.87898,0.95058,0.6449,1.08163,0.64794,1.09906,0.00128133,0.00128133,0.00128133
51,518.115,1.13162,0.83021,1.18961,0.90946,0.89257,0.94726,0.65228,1.08601,0.64163,1.09495,0.00126667,0.00126667,0.00126667
52,528.083,1.09828,0.7899,1.16995,0.91806,0.89426,0.94206,0.64929,1.06059,0.64072,1.10126,0.001252,0.001252,0.001252
53,538.046,1.08362,0.76315,1.16249,0.91302,0.90964,0.94902,0.66262,1.04727,0.6261,1.07095,0.00123733,0.00123733,0.00123733
54,548.043,1.09671,0.78,1.15936,0.93765,0.90587,0.95531,0.65366,1.07371,0.61652,1.08181,0.00122267,0.00122267,0.00122267
55,557.966,1.07592,0.76538,1.16036,0.92075,0.8991,0.94878,0.65076,1.08247,0.62632,1.08768,0.001208,0.001208,0.001208
56,567.808,1.09388,0.76209,1.16493,0.94337,0.90361,0.94952,0.65436,1.06458,0.59806,1.09799,0.00119333,0.00119333,0.00119333
