epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,394.088,1.08041,0.77273,1.17394,0.93169,0.90361,0.95231,0.65785,1.0482,0.61474,1.12221,0.001384,0.001384,0.001384
44,403.214,1.07972,0.74507,1.17078,0.90963,0.89608,0.94391,0.64876,1.08276,0.6407,1.12578,0.00136933,0.00136933,0.00136933
45,412.121,1.10587,0.77609,1.17911,0.89743,0.875,0.94233,0.65519,1.03754,0.65228,1.11124,0.00135467,0.00135467,0.00135467
46,421.078,1.08444,0.7461,1.17733,0.92373,0.90211,0.9459,0.6503,1.0731,0.63295,1.11748,0.00134,0.00134,0.00134
47,430.27,1.10141,0.77161,1.17528,0.92589,0.88705,0.94967,0.67018,1.03895,0.60193,1.09342,0.00132533,0.00132533,0.00132533
48,439.302,1.06949,0.75921,1.16614,0.96004,0.86747,0.95672,0.65996,1.07841,0.62847,1.09627,0.00131067,0.00131067,0.00131067
49,448.284,1.06509,0.73516,1.15479,0.93654,0.89006,0.94349,0.66881,1.03811,0.60874,1.1023,0.001296,0.001296,0.001296
50,457.125,1.06672,0.73993,1.16035,0.95266,0.91867,0.96336,0.67746,1.041,0.57954,1.11001,0.00128133,0.00128133,0.00128133
51,466.381,1.09851,0.77456,1.17756,0.91991,0.88705,0.95104,0.66413,1.03993,0.61956,1.08873,0.00126667,0.00126667,0.00126667
52,475.31,1.04784,0.73328,1.15286,0.92597,0.91867,0.95681,0.65835,1.06253,0.60347,1.10642,0.001252,0.001252,0.001252
53,484.345,1.05334,0.71725,1.15759,0.92309,0.90381,0.95552,0.66652,1.06048,0.61251,1.11391,0.00123733,0.00123733,0.00123733
54,493.562,1.05961,0.73023,1.15811,0.93091,0.91313,0.95131,0.66636,1.0566,0.58543,1.11596,0.00122267,0.00122267,0.00122267
55,502.469,1.02992,0.71354,1.1551,0.93658,0.88253,0.9519,0.67535,1.01402,0.60925,1.10932,0.001208,0.001208,0.001208
