epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1794,1.2265,1.69154,1.2164,0.76099,0.59237,0.70597,0.4059,1.3264,1.46263,1.25388,0.000648649,0.000648649,0.000648649
2,33.2899,1.28851,1.18647,1.26259,0.25654,0.17759,0.13204,0.04002,2.74277,3.90899,3.23919,0.00130229,0.00130229,0.00130229
3,47.6786,1.38014,1.24516,1.329,0.24198,0.20613,0.13829,0.04844,2.81306,2.80095,2.67351,0.00194274,0.00194274,0.00194274
4,61.5238,1.41282,1.25482,1.34993,0.27167,0.27273,0.18202,0.05998,2.40997,3.55165,2.63671,0.0019406,0.0019406,0.0019406
5,75.808,1.37756,1.18225,1.34144,0.61754,0.56025,0.60215,0.30396,1.64768,1.51047,1.59957,0.0019208,0.0019208,0.0019208
6,89.6394,1.35326,1.15177,1.32326,0.33283,0.50211,0.31469,0.13983,2.046,2.63018,2.04238,0.001901,0.001901,0.001901
7,103.321,1.33993,1.11585,1.32509,0.70322,0.61628,0.69158,0.36894,1.52373,1.42136,1.38662,0.0018812,0.0018812,0.0018812
8,117.258,1.31316,1.08629,1.3077,0.75052,0.82362,0.82015,0.45926,1.47965,1.24116,1.42204,0.0018614,0.0018614,0.0018614
9,130.964,1.31806,1.05162,1.30248,0.83676,0.78224,0.86011,0.48581,1.41899,1.05415,1.33794,0.0018416,0.0018416,0.0018416
10,145.13,1.30586,1.04699,1.29115,0.77949,0.79967,0.84309,0.5009,1.30181,1.02509,1.29693,0.0018218,0.0018218,0.0018218
11,158.908,1.27797,1.02954,1.28787,0.83065,0.7933,0.86644,0.52039,1.28674,1.01844,1.27124,0.001802,0.001802,0.001802
12,173.087,1.27095,1.00026,1.27488,0.83755,0.82295,0.88639,0.5331,1.30896,0.90149,1.25713,0.0017822,0.0017822,0.0017822
13,186.726,1.26637,0.98391,1.28327,0.82787,0.83887,0.89384,0.53845,1.29971,0.89084,1.27684,0.0017624,0.0017624,0.0017624
14,200.73,1.24353,0.95439,1.26503,0.86211,0.83721,0.90688,0.54206,1.30654,0.93839,1.25178,0.0017426,0.0017426,0.0017426
15,214.732,1.2266,0.9306,1.25046,0.82495,0.80704,0.88282,0.51466,1.33102,0.94967,1.28851,0.0017228,0.0017228,0.0017228
16,228.55,1.21561,0.93588,1.24771,0.85538,0.81712,0.89209,0.54416,1.25244,0.84785,1.21264,0.001703,0.001703,0.001703
17,242.776,1.22256,0.91476,1.24665,0.88463,0.81712,0.91157,0.56142,1.24642,0.80493,1.18773,0.0016832,0.0016832,0.0016832
