epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5876,2.42671,4.42513,2.40262,0.00418,0.98414,0.40929,0.22012,2.34213,5.73807,2.32066,0.000648649,0.000648649,0.000648649
2,39.3448,2.73627,3.34334,2.57728,0.70258,0.28753,0.43388,0.17798,3.46946,5.26005,3.35326,0.00130229,0.00130229,0.00130229
3,55.6714,2.92088,3.22114,2.69823,0.26724,0.30867,0.18792,0.05451,5.23138,6.5496,6.1126,0.00194274,0.00194274,0.00194274
4,72.2875,2.9766,3.09219,2.75355,0.2568,0.27284,0.18954,0.07548,3.98816,13.2481,4.38817,0.0019406,0.0019406,0.0019406
5,88.6772,2.90487,2.82445,2.72003,0.59669,0.53383,0.56602,0.27663,3.28271,7.42265,3.36009,0.0019208,0.0019208,0.0019208
6,105.447,2.86592,2.72255,2.69731,0.6249,0.5518,0.61326,0.31799,3.05314,3.55135,2.89058,0.001901,0.001901,0.001901
7,121.706,2.82739,2.54822,2.66799,0.66456,0.62408,0.65012,0.30823,3.54123,3.08475,3.29646,0.0018812,0.0018812,0.0018812
8,138.38,2.80285,2.51774,2.65834,0.70329,0.63214,0.70243,0.34051,3.16823,3.13531,2.89013,0.0018614,0.0018614,0.0018614
9,154.75,2.76428,2.41554,2.60925,0.71891,0.70023,0.74142,0.40653,2.98904,2.72165,2.79333,0.0018416,0.0018416,0.0018416
10,171.307,2.7361,2.41817,2.6177,0.73425,0.70387,0.77401,0.41145,2.93024,2.68349,2.79915,0.0018218,0.0018218,0.0018218
11,187.593,2.69504,2.29017,2.59175,0.79597,0.75476,0.84057,0.48476,2.75049,1.93053,2.56992,0.001802,0.001802,0.001802
12,204.262,2.67122,2.27944,2.56638,0.73355,0.61986,0.6772,0.34697,3.32707,2.84862,3.09856,0.0017822,0.0017822,0.0017822
13,220.433,2.66974,2.24749,2.57751,0.72701,0.7167,0.77552,0.41787,2.91237,2.40369,2.67937,0.0017624,0.0017624,0.0017624
14,237.189,2.63492,2.22173,2.56181,0.82253,0.78224,0.85424,0.4614,2.84067,2.14204,2.64913,0.0017426,0.0017426,0.0017426
15,253.321,2.61434,2.12331,2.52908,0.84246,0.79141,0.87541,0.51348,2.67447,1.73596,2.45609,0.0017228,0.0017228,0.0017228
16,269.988,2.57343,2.12618,2.50991,0.82443,0.78013,0.86373,0.51138,2.69171,1.73489,2.51429,0.001703,0.001703,0.001703
17,286.163,2.57833,2.06069,2.51284,0.80189,0.80021,0.86192,0.51043,2.60934,1.85186,2.44432,0.0016832,0.0016832,0.0016832
18,302.751,2.55561,2.05415,2.51012,0.84621,0.79493,0.86141,0.49496,2.70406,1.74859,2.54454,0.0016634,0.0016634,0.0016634
19,319.104,2.61375,2.06211,2.53669,0.7997,0.76216,0.83419,0.49902,2.67908,1.85977,2.54295,0.0016436,0.0016436,0.0016436
20,335.703,2.54242,2.02235,2.51436,0.85241,0.82875,0.89098,0.55629,2.55807,1.54816,2.47128,0.0016238,0.0016238,0.0016238
21,351.968,2.53083,1.97286,2.48952,0.8714,0.80761,0.89719,0.54161,2.59769,1.70311,2.47029,0.001604,0.001604,0.001604
22,368.342,2.48409,1.95059,2.47749,0.8353,0.83404,0.8995,0.53937,2.54714,1.72767,2.46062,0.0015842,0.0015842,0.0015842
