epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1231,1.24929,1.94188,1.23309,0.77411,0.46512,0.59061,0.28198,1.41164,2.1971,1.37613,0.000648649,0.000648649,0.000648649
2,33.9358,1.31798,1.25056,1.27989,0.61933,0.56411,0.58176,0.29591,1.57622,1.76578,1.4819,0.00130229,0.00130229,0.00130229
3,48.8991,1.40822,1.30702,1.34135,0.18838,0.25793,0.12819,0.04555,2.28251,4.44159,2.47199,0.00194274,0.00194274,0.00194274
4,63.3461,1.43219,1.29845,1.35882,0.56822,0.5444,0.5618,0.2647,1.82628,2.4274,1.86533,0.0019406,0.0019406,0.0019406
5,78.1147,1.38905,1.23026,1.33762,0.57608,0.65751,0.58266,0.27737,1.6697,2.75742,1.65156,0.0019208,0.0019208,0.0019208
6,92.4898,1.37807,1.20129,1.32542,0.49177,0.60888,0.51679,0.22648,1.84587,1.96297,1.69267,0.001901,0.001901,0.001901
7,106.89,1.35777,1.15456,1.31768,0.51926,0.53911,0.47763,0.20302,1.9903,1.95661,1.78969,0.0018812,0.0018812,0.0018812
8,121.188,1.34972,1.13221,1.31422,0.80742,0.81078,0.8623,0.47662,1.46763,1.11903,1.36534,0.0018614,0.0018614,0.0018614
9,135.546,1.32913,1.08944,1.29194,0.70811,0.69556,0.75272,0.43348,1.39169,1.48224,1.33008,0.0018416,0.0018416,0.0018416
10,150.593,1.32552,1.0881,1.29639,0.79031,0.77292,0.82964,0.48513,1.28872,1.5011,1.28315,0.0018218,0.0018218,0.0018218
11,164.928,1.29838,1.05492,1.28762,0.80155,0.76956,0.84026,0.49529,1.32561,1.12374,1.31071,0.001802,0.001802,0.001802
12,179.689,1.29542,1.03574,1.28461,0.80871,0.79994,0.86296,0.49115,1.36982,0.99845,1.26731,0.0017822,0.0017822,0.0017822
13,194.032,1.29176,1.02254,1.28921,0.83516,0.77378,0.86431,0.51312,1.37561,0.96189,1.27284,0.0017624,0.0017624,0.0017624
14,208.794,1.27004,0.98652,1.27474,0.82459,0.79507,0.86484,0.50958,1.35255,0.98759,1.3012,0.0017426,0.0017426,0.0017426
15,223.008,1.2486,0.97408,1.25984,0.86765,0.81777,0.89674,0.54563,1.28219,0.89574,1.24567,0.0017228,0.0017228,0.0017228
16,237.64,1.23608,0.98232,1.25507,0.82536,0.8193,0.87641,0.53364,1.30215,0.91478,1.22982,0.001703,0.001703,0.001703
17,251.895,1.24637,0.96086,1.24912,0.86984,0.84144,0.89901,0.55194,1.25257,0.87105,1.20561,0.0016832,0.0016832,0.0016832
18,266.026,1.22884,0.95263,1.24613,0.88663,0.8267,0.91131,0.56343,1.27119,0.83123,1.20434,0.0016634,0.0016634,0.0016634
19,280.64,1.24403,0.9468,1.25253,0.87199,0.83532,0.90075,0.55293,1.26056,0.88877,1.22606,0.0016436,0.0016436,0.0016436
20,295.024,1.22564,0.92633,1.2481,0.8965,0.81818,0.91579,0.55362,1.27981,0.82168,1.23807,0.0016238,0.0016238,0.0016238
21,309.711,1.22622,0.9233,1.24101,0.87397,0.84355,0.91053,0.57656,1.22315,0.79455,1.20552,0.001604,0.001604,0.001604
22,323.859,1.19221,0.89197,1.23027,0.90264,0.82324,0.91749,0.57389,1.22574,0.84255,1.2137,0.0015842,0.0015842,0.0015842
23,338.504,1.20338,0.91489,1.23242,0.79513,0.81646,0.82154,0.46256,1.37475,0.92584,1.30147,0.0015644,0.0015644,0.0015644
