epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,840.807,1.10043,0.74318,1.28548,0.93139,0.90169,0.9592,0.64012,1.08781,0.60399,1.34614,0.0011882,0.0011882,0.0011882
43,860.984,1.07605,0.71122,1.27373,0.92028,0.91521,0.95422,0.63005,1.1235,0.57432,1.37167,0.0011684,0.0011684,0.0011684
44,880.961,1.09434,0.71439,1.28048,0.91638,0.88041,0.94359,0.64248,1.07718,0.59564,1.34498,0.0011486,0.0011486,0.0011486
45,900.975,1.07566,0.7074,1.26939,0.92043,0.90486,0.9551,0.6422,1.09348,0.59331,1.34399,0.0011288,0.0011288,0.0011288
46,920.85,1.07593,0.72109,1.27539,0.92012,0.901,0.94582,0.6307,1.13009,0.60105,1.37522,0.001109,0.001109,0.001109
47,940.656,1.08028,0.71635,1.27091,0.91086,0.90738,0.9602,0.6481,1.09851,0.57559,1.34458,0.0010892,0.0010892,0.0010892
48,960.721,1.06669,0.71032,1.26477,0.92893,0.89746,0.95419,0.64783,1.08978,0.57309,1.35301,0.0010694,0.0010694,0.0010694
49,980.673,1.07044,0.69386,1.26506,0.92974,0.93727,0.96621,0.65675,1.09667,0.51918,1.34279,0.0010496,0.0010496,0.0010496
50,1000.62,1.06329,0.69311,1.259,0.9361,0.90063,0.96309,0.64667,1.09445,0.55725,1.33823,0.0010298,0.0010298,0.0010298
51,1020.73,1.05143,0.70291,1.25283,0.95451,0.9094,0.96654,0.66859,1.03316,0.53657,1.29965,0.00101,0.00101,0.00101
52,1040.46,1.05196,0.67506,1.24879,0.9276,0.92706,0.96126,0.6683,1.05626,0.53775,1.31089,0.0009902,0.0009902,0.0009902
53,1060.12,1.05467,0.68462,1.2583,0.94174,0.90169,0.9639,0.6495,1.10554,0.54577,1.34996,0.0009704,0.0009704,0.0009704
54,1079.75,1.06246,0.68491,1.26155,0.94894,0.90367,0.96613,0.65891,1.07176,0.54145,1.33197,0.0009506,0.0009506,0.0009506
55,1099.01,1.03662,0.68341,1.2511,0.94544,0.89764,0.95852,0.66192,1.06345,0.55648,1.31694,0.0009308,0.0009308,0.0009308
56,1118.51,1.03918,0.66736,1.24596,0.94505,0.90904,0.96678,0.66376,1.03914,0.53601,1.3089,0.000911,0.000911,0.000911
57,1137.73,1.04516,0.66925,1.24999,0.93079,0.92408,0.96128,0.66743,1.04123,0.52842,1.30817,0.0008912,0.0008912,0.0008912
58,1157.29,1.04065,0.66097,1.24796,0.9611,0.91543,0.97014,0.67287,1.04815,0.52025,1.30555,0.0008714,0.0008714,0.0008714
59,1176.78,1.03368,0.66299,1.2292,0.95924,0.91015,0.96716,0.67784,1.03555,0.50998,1.31203,0.0008516,0.0008516,0.0008516
60,1196.34,1.03783,0.64982,1.24235,0.95902,0.91015,0.96583,0.66245,1.05925,0.50279,1.32699,0.0008318,0.0008318,0.0008318
61,1216.48,1.02983,0.65765,1.23925,0.93903,0.92812,0.96652,0.66517,1.04327,0.51584,1.3004,0.000812,0.000812,0.000812
62,1236.15,1.02816,0.65454,1.23484,0.94202,0.92745,0.97101,0.67385,1.04745,0.50717,1.31298,0.0007922,0.0007922,0.0007922
63,1255.78,1.0303,0.66553,1.23692,0.95836,0.92462,0.96949,0.68067,1.03321,0.48644,1.30121,0.0007724,0.0007724,0.0007724
64,1275.52,1.01447,0.62906,1.23642,0.94567,0.91649,0.96742,0.67496,1.05061,0.49808,1.30346,0.0007526,0.0007526,0.0007526
65,1294.99,1.03146,0.64139,1.24463,0.94167,0.91015,0.95298,0.66147,1.06621,0.50166,1.32586,0.0007328,0.0007328,0.0007328
66,1314.84,1.02441,0.62437,1.23092,0.94151,0.94715,0.97299,0.67209,1.04154,0.48437,1.31119,0.000713,0.000713,0.000713
67,1334.7,1.00008,0.62422,1.21958,0.94788,0.9186,0.96785,0.68103,1.0207,0.48873,1.28994,0.0006932,0.0006932,0.0006932
68,1354.34,1.0283,0.64149,1.23073,0.95357,0.93345,0.96734,0.67386,1.04051,0.481,1.31446,0.0006734,0.0006734,0.0006734
69,1373.98,1.0071,0.62354,1.22444,0.95325,0.94292,0.96927,0.68532,1.01777,0.47998,1.28951,0.0006536,0.0006536,0.0006536
70,1393.45,1.00247,0.63326,1.22462,0.95229,0.94186,0.97179,0.69002,1.00367,0.47035,1.28807,0.0006338,0.0006338,0.0006338
71,1413,0.98936,0.6026,1.21859,0.9412,0.94186,0.9707,0.68315,1.01491,0.46457,1.29675,0.000614,0.000614,0.000614
72,1432.69,0.99424,0.61703,1.21761,0.9598,0.93389,0.97365,0.68365,1.0321,0.47301,1.31064,0.0005942,0.0005942,0.0005942
73,1452,0.99649,0.61102,1.22625,0.95887,0.93648,0.97347,0.69701,0.99742,0.46375,1.28111,0.0005744,0.0005744,0.0005744
74,1471.51,0.99682,0.60262,1.21395,0.96558,0.93763,0.97047,0.68768,1.01295,0.4695,1.28174,0.0005546,0.0005546,0.0005546
