epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,511.053,2.32803,1.74175,2.37801,0.87246,0.83133,0.90131,0.59093,2.30206,1.43466,2.24642,0.001384,0.001384,0.001384
44,522.73,2.33257,1.69943,2.38739,0.89658,0.84862,0.92358,0.61742,2.20676,1.33781,2.21783,0.00136933,0.00136933,0.00136933
45,534.523,2.40381,1.76655,2.41301,0.8997,0.84036,0.91576,0.59867,2.34507,1.34925,2.33223,0.00135467,0.00135467,0.00135467
46,546.193,2.32174,1.7061,2.38949,0.8823,0.8354,0.92328,0.60624,2.27273,1.30284,2.25537,0.00134,0.00134,0.00134
47,557.659,2.3422,1.69467,2.38445,0.92172,0.85115,0.93454,0.61952,2.24368,1.27361,2.24777,0.00132533,0.00132533,0.00132533
48,569.26,2.31561,1.71762,2.36909,0.92166,0.85994,0.9325,0.64053,2.16333,1.21872,2.21704,0.00131067,0.00131067,0.00131067
49,580.661,2.2801,1.6783,2.34545,0.90243,0.86295,0.9268,0.61772,2.19264,1.31357,2.22275,0.001296,0.001296,0.001296
50,592.203,2.28594,1.64639,2.35738,0.91342,0.83886,0.92925,0.6257,2.20056,1.25943,2.20802,0.00128133,0.00128133,0.00128133
51,603.936,2.356,1.75856,2.40261,0.88713,0.86407,0.93042,0.62021,2.19308,1.28915,2.20329,0.00126667,0.00126667,0.00126667
52,615.506,2.24416,1.66076,2.34375,0.88962,0.85392,0.93153,0.6269,2.17285,1.27196,2.20222,0.001252,0.001252,0.001252
53,627.184,2.25507,1.60504,2.36378,0.90378,0.8488,0.92598,0.63604,2.18587,1.18846,2.22511,0.00123733,0.00123733,0.00123733
54,638.868,2.29594,1.67102,2.37388,0.90848,0.84789,0.92933,0.62988,2.1312,1.30197,2.19912,0.00122267,0.00122267,0.00122267
55,650.552,2.23327,1.61342,2.35146,0.9091,0.84343,0.92971,0.61451,2.19061,1.26201,2.26611,0.001208,0.001208,0.001208
56,662.349,2.24856,1.61723,2.36202,0.89553,0.87952,0.9335,0.64685,2.17301,1.16688,2.22719,0.00119333,0.00119333,0.00119333
57,673.835,2.23334,1.60753,2.34619,0.92481,0.85209,0.93609,0.64787,2.13509,1.17216,2.16362,0.00117867,0.00117867,0.00117867
58,685.325,2.2374,1.62306,2.32804,0.88004,0.88404,0.92667,0.62847,2.1362,1.29334,2.19427,0.001164,0.001164,0.001164
59,697.201,2.24915,1.60733,2.33909,0.8837,0.88112,0.93528,0.63381,2.11965,1.24171,2.22771,0.00114933,0.00114933,0.00114933
60,708.696,2.22667,1.58397,2.34398,0.90583,0.86921,0.9449,0.64971,2.09293,1.15571,2.15074,0.00113467,0.00113467,0.00113467
61,720.183,2.19741,1.5967,2.32659,0.90214,0.8494,0.93221,0.64641,2.08419,1.22685,2.15692,0.00112,0.00112,0.00112
62,732.029,2.17677,1.59619,2.31072,0.88136,0.89502,0.94114,0.66041,2.05171,1.14273,2.14454,0.00110533,0.00110533,0.00110533
63,743.805,2.16132,1.54504,2.29579,0.90173,0.87058,0.93619,0.65358,2.11452,1.14221,2.16415,0.00109067,0.00109067,0.00109067
64,755.762,2.20291,1.56521,2.31124,0.87652,0.86898,0.92764,0.64032,2.0977,1.21863,2.17539,0.001076,0.001076,0.001076
65,767.329,2.1715,1.51874,2.29202,0.90384,0.88554,0.94091,0.65282,2.10563,1.13742,2.17613,0.00106133,0.00106133,0.00106133
66,778.806,2.19024,1.5392,2.3058,0.92672,0.85693,0.941,0.65371,2.12704,1.15293,2.17054,0.00104667,0.00104667,0.00104667
67,790.67,2.13827,1.4939,2.28728,0.90857,0.89791,0.94711,0.66325,2.06247,1.06941,2.1471,0.001032,0.001032,0.001032
68,802.297,2.1827,1.52118,2.28961,0.89704,0.89307,0.94535,0.66439,2.04838,1.10503,2.13636,0.00101733,0.00101733,0.00101733
